Arquivo,Chave,CNPJEmitente,DataEmissao,Valor,Status
33260205817741000183550010000453301000788352-nfe.xml,33260205817741000183550010000453301000788352,05817741000183,2026-02-02T10:24:14-03:00,280.00,Ativa
33260205817741000183550010000453311000788368-nfe.xml,33260205817741000183550010000453311000788368,05817741000183,2026-02-02T10:35:14-03:00,205.00,Ativa
33260205817741000183550010000453321000788373-nfe.xml,33260205817741000183550010000453321000788373,05817741000183,2026-02-02T10:40:34-03:00,85.00,Ativa
33260205817741000183550010000453331000788389-nfe.xml,33260205817741000183550010000453331000788389,05817741000183,2026-02-02T10:57:52-03:00,90.00,Ativa
33260205817741000183550010000453341000788394-nfe.xml,33260205817741000183550010000453341000788394,05817741000183,2026-02-02T11:50:50-03:00,308.00,Ativa
33260205817741000183550010000453351000788405-nfe.xml,33260205817741000183550010000453351000788405,05817741000183,2026-02-02T12:06:17-03:00,656.00,Ativa
33260205817741000183550010000453361000788410-nfe.xml,33260205817741000183550010000453361000788410,05817741000183,2026-02-02T13:19:36-03:00,445.00,Ativa
33260205817741000183550010000453371000788426-nfe.xml,33260205817741000183550010000453371000788426,05817741000183,2026-02-02T13:21:34-03:00,6300.00,Ativa
33260205817741000183550010000453381000788431-nfe.xml,33260205817741000183550010000453381000788431,05817741000183,2026-02-02T15:35:23-03:00,251.27,Ativa
33260205817741000183550010000453391000788447-nfe.xml,33260205817741000183550010000453391000788447,05817741000183,2026-02-03T10:51:01-03:00,240.00,Ativa
33260205817741000183550010000453401000788464-nfe.xml,33260205817741000183550010000453401000788464,05817741000183,2026-02-03T13:38:23-03:00,1580.00,Ativa
33260205817741000183550010000453411000788470-nfe.xml,33260205817741000183550010000453411000788470,05817741000183,2026-02-03T14:42:41-03:00,60.00,Ativa
33260205817741000183550010000453421000788485-nfe.xml,33260205817741000183550010000453421000788485,05817741000183,2026-02-03T14:46:08-03:00,326.00,Ativa
33260205817741000183550010000453431000788490-nfe.xml,33260205817741000183550010000453431000788490,05817741000183,2026-02-03T15:21:42-03:00,4037.00,Ativa
